Time,P1,P2,IMe,IMh,Tint,Rec
34,0.006785552,0.565236441,0.788738645,106.9313111,59.22255251,0.00525
44,0.011966722,0.582712,0.788738645,106.9313111,59.22255251,0.00885
54,0.01868627,0.603830864,0.788738645,106.9313111,59.22255251,0.0142
64,0.026018292,0.626027283,0.788738645,106.9313111,59.22255251,0.0194
74,0.03493557,0.650439918,0.788738645,106.9313111,59.22255251,0.0262
84,0.045194041,0.676486245,0.788738645,106.9313111,59.22255251,0.0341
94,0.058137803,0.703927971,0.788738645,106.9313111,59.22255251,0.04415
104,0.06942325,0.729107465,0.788738645,106.9313111,59.22255251,0.05355
114,0.080994772,0.756434753,0.788738645,106.9313111,59.22255251,0.0633
124,0.095391143,0.781138219,0.788738645,106.9313111,59.22255251,0.075
134,0.110076696,0.803537123,0.788738645,106.9313111,59.22255251,0.08765
144,0.127754858,0.823337782,0.788738645,106.9313111,59.22255251,0.10055
154,0.143646805,0.842163862,0.788738645,106.9313111,59.22255251,0.1138
164,0.159548081,0.860606402,0.788738645,106.9313111,59.22255251,0.1275
174,0.176472828,0.880750564,0.788738645,106.9313111,59.22255251,0.1422
184,0.192414101,0.897207474,0.788738645,106.9313111,59.22255251,0.1561
194,0.210612893,0.910087187,0.788738645,106.9313111,59.22255251,0.1709
204,0.227886481,0.922220993,0.788738645,106.9313111,59.22255251,0.1865
214,0.245631099,0.93323097,0.788738645,106.9313111,59.22255251,0.2026
224,0.264037435,0.941961302,0.788738645,106.9313111,59.22255251,0.21935
234,0.284332795,0.949533108,0.788738645,106.9313111,59.22255251,0.23775
244,0.302413066,0.954711168,0.788738645,106.9313111,59.22255251,0.25455
254,0.317569243,0.959236289,0.788738645,106.9313111,59.22255251,0.26975
264,0.334110899,0.963139928,0.788738645,106.9313111,59.22255251,0.2855
274,0.350232007,0.967457151,0.788738645,106.9313111,59.22255251,0.3013
284,0.365728111,0.970726551,0.788738645,106.9313111,59.22255251,0.3173
294,0.381642044,0.973195752,0.788738645,106.9313111,59.22255251,0.33265
304,0.403328133,0.975399903,0.788738645,106.9313111,59.22255251,0.35165
314,0.421470707,0.977534019,0.788738645,106.9313111,59.22255251,0.36945
324,0.438492757,0.980299442,0.788738645,106.9313111,59.22255251,0.3867
334,0.455633531,0.982776695,0.788738645,106.9313111,59.22255251,0.40415
344,0.471369316,0.984280257,0.788738645,106.9313111,59.22255251,0.42045
354,0.487599668,0.985398771,0.788738645,106.9313111,59.22255251,0.4367
364,0.500665725,0.986869716,0.788738645,106.9313111,59.22255251,0.45075
374,0.515990247,0.988167287,0.788738645,106.9313111,59.22255251,0.46605
384,0.529777958,0.988698815,0.788738645,106.9313111,59.22255251,0.4805
394,0.540798773,0.989228707,0.788738645,106.9313111,59.22255251,0.49325
404,0.553287165,0.989923025,0.788738645,106.9313111,59.22255251,0.5067
414,0.565585088,0.99025847,0.788738645,106.9313111,59.22255251,0.51975
424,0.580034274,0.990806309,0.788738645,106.9313111,59.22255251,0.5344
434,0.592003412,0.991202265,0.788738645,106.9313111,59.22255251,0.5477
