Rec,Time,P1,P2
0.802,226,0.848422141,0.959630296
0.803,227,0.849034633,0.959962576
0.807,228,0.849644155,0.960291749
0.809,229,0.850250726,0.960617845
0.812,230,0.850854364,0.960940895
0.813,231,0.851455086,0.961260931
0.813,232,0.852052911,0.961577982
0.814,233,0.852647855,0.961892078
0.815,234,0.853239936,0.96220325
0.815,235,0.853829171,0.962511527
0.815,236,0.854415576,0.962816938
0.816,237,0.854999169,0.963119512
0.817,238,0.855579966,0.963419278
0.818,239,0.856157983,0.963716264
0.82,240,0.856733235,0.964010499
0.821,241,0.85730574,0.964302009
0.821,242,0.857875513,0.964590823
0.823,243,0.85844257,0.964876967
0.824,244,0.859006926,0.965160469
0.824,245,0.859568596,0.965441356
0.826,246,0.860127596,0.965719653
0.826,247,0.860683941,0.965995387
0.826,248,0.861237645,0.966268584
0.826,249,0.861788724,0.96653927
0.827,250,0.862337192,0.966807468
0.827,251,0.862883063,0.967073206
0.828,252,0.863426353,0.967336507
0.828,253,0.863967075,0.967597397
0.828,254,0.864505243,0.967855898
0.828,255,0.865040872,0.968112037
0.829,256,0.865573976,0.968365835
0.829,257,0.866104568,0.968617317
0.829,258,0.866632661,0.968866507
0.83,259,0.867158271,0.969113427
0.83,260,0.867681409,0.969358099
0.83,261,0.86820209,0.969600547
0.83,262,0.868720326,0.969840794
0.831,263,0.869236132,0.97007886
0.831,264,0.869749519,0.970314768
0.832,265,0.870260502,0.97054854
0.833,266,0.870769092,0.970780196
0.834,267,0.871275303,0.971009759
0.834,268,0.871779148,0.97123725
0.835,269,0.872280638,0.971462688
0.836,270,0.872779787,0.971686094
0.837,271,0.873276607,0.97190749
0.839,272,0.87377111,0.972126894
0.84,273,0.874263309,0.972344327
0.84,274,0.874753216,0.972559809
0.841,275,0.875240843,0.972773358
0.841,276,0.875726201,0.972984995
0.842,277,0.876209304,0.973194738
0.842,278,0.876690162,0.973402607
0.843,279,0.877168788,0.973608619
0.843,280,0.877645193,0.973812793
0.844,281,0.878119388,0.974015148
0.845,282,0.878591387,0.974215702
0.846,283,0.879061199,0.974414472
0.85,284,0.879528837,0.974611476
0.85,285,0.879994311,0.974806733
0.852,286,0.880457633,0.975000258
0.853,287,0.880918815,0.975192069
0.855,288,0.881377867,0.975382184
0.857,289,0.8818348,0.975570618
0.857,290,0.882289626,0.975757389
0.857,291,0.882742355,0.975942513
0.857,292,0.883192999,0.976126006
0.857,293,0.883641567,0.976307885
0.857,294,0.884088072,0.976488165
0.857,295,0.884532522,0.976666861
0.859,296,0.88497493,0.976843991
0.859,297,0.885415306,0.977019568
0.86,298,0.88585366,0.977193608
0.861,299,0.886290002,0.977366127
0.861,300,0.886724343,0.977537138
0.861,301,0.887156694,0.977706658
0.862,302,0.887587064,0.9778747
0.862,303,0.888015464,0.978041279
0.863,304,0.888441904,0.97820641
0.863,305,0.888866394,0.978370106
0.863,306,0.889288944,0.978532381
0.863,307,0.889709564,0.97869325
0.863,308,0.890128263,0.978852725
0.863,309,0.890545053,0.979010822
0.863,310,0.890959942,0.979167552
0.866,311,0.89137294,0.979322929
0.866,312,0.891784057,0.979476967
0.868,313,0.892193303,0.979629678
0.87,314,0.892600687,0.979781076
0.871,315,0.893006219,0.979931172
0.872,316,0.893409908,0.98007998
0.873,317,0.893811764,0.980227512
0.875,318,0.894211796,0.98037378
0.876,319,0.894610013,0.980518797
0.876,320,0.895006425,0.980662574
0.879,321,0.89540104,0.980805124
0.88,322,0.895793869,0.980946458
0.88,323,0.89618492,0.981086588
0.883,324,0.896574202,0.981225526
0.883,325,0.896961724,0.981363283
0.887,326,0.897347496,0.98149987
0.887,327,0.897731525,0.981635299
0.888,328,0.898113822,0.98176958
0.888,329,0.898494395,0.981902725
0.888,330,0.898873252,0.982034744
0.888,331,0.899250403,0.982165649
0.888,332,0.899625855,0.982295449
