Rec,Time,P1,P2
0.956,395,0.995512407,0.936877773
0.956,396,0.995548243,0.937152967
0.956,397,0.995583746,0.937426694
0.956,398,0.99561892,0.937698963
0.956,399,0.995653767,0.937969784
0.956,400,0.995688292,0.938239165
0.956,401,0.995722499,0.938507118
0.956,402,0.995756389,0.93877365
0.956,403,0.995789967,0.939038771
0.957,404,0.995823236,0.93930249
0.957,405,0.995856199,0.939564816
0.957,406,0.995888859,0.939825758
0.957,407,0.99592122,0.940085325
0.957,408,0.995953285,0.940343526
0.957,409,0.995985057,0.94060037
0.957,410,0.996016538,0.940855864
0.957,411,0.996047733,0.941110019
0.957,412,0.996078644,0.941362841
0.957,413,0.996109273,0.941614341
0.958,414,0.996139624,0.941864526
0.959,415,0.996169701,0.942113405
0.96,416,0.996199504,0.942360985
0.961,417,0.996229039,0.942607276
0.961,418,0.996258306,0.942852285
0.962,419,0.996287309,0.94309602
0.962,420,0.996316052,0.94333849
0.962,421,0.996344535,0.943579703
0.962,422,0.996372763,0.943819665
0.962,423,0.996400737,0.944058386
0.962,424,0.996428461,0.944295873
0.962,425,0.996455937,0.944532134
0.962,426,0.996483167,0.944767176
0.962,427,0.996510154,0.945001007
0.962,428,0.996536901,0.945233635
0.962,429,0.996563409,0.945465067
0.963,430,0.996589682,0.94569531
0.963,431,0.996615722,0.945924372
0.963,432,0.996641531,0.946152261
0.963,433,0.996667111,0.946378983
0.963,434,0.996692465,0.946604546
0.963,435,0.996717595,0.946828957
0.964,436,0.996742503,0.947052222
0.964,437,0.996767192,0.94727435
0.964,438,0.996791663,0.947495347
0.964,439,0.99681592,0.947715221
0.964,440,0.996839964,0.947933977
0.964,441,0.996863797,0.948151623
0.965,442,0.996887421,0.948368165
0.965,443,0.996910839,0.948583611
0.965,444,0.996934053,0.948797967
0.965,445,0.996957064,0.94901124
0.965,446,0.996979874,0.949223437
0.965,447,0.997002486,0.949434563
0.965,448,0.997024902,0.949644625
0.965,449,0.997047124,0.949853631
0.966,450,0.997069152,0.950061585
0.966,451,0.997090991,0.950268496
0.966,452,0.99711264,0.950474368
0.966,453,0.997134103,0.950679209
0.966,454,0.99715538,0.950883024
0.966,455,0.997176474,0.951085819
0.966,456,0.997197387,0.951287602
0.966,457,0.997218121,0.951488377
0.966,458,0.997238676,0.951688151
0.966,459,0.997259055,0.951886931
0.966,460,0.99727926,0.952084721
0.966,461,0.997299293,0.952281528
0.966,462,0.997319154,0.952477357
0.966,463,0.997338846,0.952672216
0.966,464,0.99735837,0.952866108
0.966,465,0.997377728,0.953059041
0.966,466,0.997396922,0.953251019
0.966,467,0.997415953,0.953442049
0.966,468,0.997434823,0.953632135
0.966,469,0.997453533,0.953821285
0.967,470,0.997472085,0.954009502
0.967,471,0.99749048,0.954196794
0.967,472,0.997508721,0.954383164
0.967,473,0.997526807,0.95456862
0.967,474,0.997544742,0.954753165
0.967,475,0.997562526,0.954936805
0.967,476,0.99758016,0.955119546
0.967,477,0.997597647,0.955301394
0.97,478,0.997614988,0.955482352
0.97,479,0.997632183,0.955662427
0.97,480,0.997649235,0.955841623
0.97,481,0.997666145,0.956019946
0.97,482,0.997682914,0.956197401
0.971,483,0.997699543,0.956373992
0.971,484,0.997716034,0.956549726
0.972,485,0.997732388,0.956724606
0.972,486,0.997748607,0.956898638
0.972,487,0.997764691,0.957071827
0.972,488,0.997780643,0.957244178
0.972,489,0.997796462,0.957415695
0.972,490,0.997812151,0.957586383
0.972,491,0.997827711,0.957756248
0.972,492,0.997843143,0.957925293
0.973,493,0.997858447,0.958093524
0.973,494,0.997873627,0.958260945
0.973,495,0.997888681,0.958427561
0.973,496,0.997903612,0.958593377
0.973,497,0.997918421,0.958758396
0.974,498,0.997933109,0.958922625
0.974,499,0.997947677,0.959086066
0.974,500,0.997962127,0.959248726
0.974,501,0.997976458,0.959410607
0.974,502,0.997990673,0.959571715
0.974,503,0.998004773,0.959732055
0.974,504,0.998018758,0.959891629
0.974,505,0.998032629,0.960050443
0.974,506,0.998046389,0.960208502
0.974,507,0.998060037,0.960365809
0.974,508,0.998073575,0.960522368
0.974,509,0.998087003,0.960678184
0.975,510,0.998100323,0.960833262
