Time,P11,P22
893,1.20E-04,7.04E-03
894,1.20E-04,6.92E-03
895,1.20E-04,6.84E-03
896,1.20E-04,6.76E-03
897,1.20E-04,6.68E-03
898,1.20E-04,6.56E-03
899,1.20E-04,6.52E-03
900,1.20E-04,6.48E-03
901,1.20E-04,6.40E-03
902,1.20E-04,6.28E-03
903,1.20E-04,6.28E-03
904,1.20E-04,6.28E-03
905,1.20E-04,6.24E-03
906,1.20E-04,6.20E-03
907,1.20E-04,6.16E-03
908,8.00E-05,6.08E-03
909,8.00E-05,6.04E-03
910,8.00E-05,6.00E-03
911,4.00E-05,5.88E-03
912,4.00E-05,5.80E-03
913,4.00E-05,5.72E-03
914,4.00E-05,5.56E-03
915,4.00E-05,5.52E-03
916,4.00E-05,5.48E-03
917,4.00E-05,5.44E-03
918,4.00E-05,5.44E-03
919,4.00E-05,5.40E-03
920,4.00E-05,5.36E-03
921,4.00E-05,5.28E-03
922,4.00E-05,5.28E-03
923,4.00E-05,5.20E-03
924,4.00E-05,5.12E-03
925,4.00E-05,5.12E-03
926,4.00E-05,5.12E-03
927,4.00E-05,5.00E-03
928,4.00E-05,4.96E-03
929,4.00E-05,4.88E-03
930,4.00E-05,4.84E-03
931,4.00E-05,4.72E-03
932,4.00E-05,4.68E-03
933,4.00E-05,4.56E-03
934,4.00E-05,4.52E-03
935,4.00E-05,4.44E-03
936,4.00E-05,4.32E-03
937,4.00E-05,4.28E-03
938,4.00E-05,4.24E-03
939,4.00E-05,4.20E-03
940,4.00E-05,4.20E-03
941,4.00E-05,4.20E-03
942,4.00E-05,4.04E-03
943,4.00E-05,4.04E-03
944,4.00E-05,3.96E-03
945,4.00E-05,3.88E-03
946,4.00E-05,3.80E-03
947,0.00E+00,3.72E-03
948,0.00E+00,3.68E-03
949,0.00E+00,3.64E-03
950,0.00E+00,3.56E-03
951,0.00E+00,3.52E-03
952,0.00E+00,3.40E-03
953,0.00E+00,3.24E-03
954,0.00E+00,3.16E-03
955,0.00E+00,3.04E-03
956,0.00E+00,3.04E-03
957,0.00E+00,2.88E-03
958,0.00E+00,2.84E-03
959,0.00E+00,2.76E-03
960,0.00E+00,2.76E-03
961,0.00E+00,2.64E-03
962,0.00E+00,2.56E-03
963,0.00E+00,2.44E-03
964,0.00E+00,2.44E-03
965,0.00E+00,2.40E-03
966,0.00E+00,2.40E-03
967,0.00E+00,2.36E-03
968,0.00E+00,2.20E-03
969,0.00E+00,2.00E-03
970,0.00E+00,2.00E-03
971,0.00E+00,2.00E-03
972,0.00E+00,1.92E-03
973,0.00E+00,1.84E-03
974,0.00E+00,1.80E-03
975,0.00E+00,1.80E-03
976,0.00E+00,1.76E-03
977,0.00E+00,1.68E-03
978,0.00E+00,1.44E-03
979,0.00E+00,1.28E-03
980,0.00E+00,1.12E-03
981,0.00E+00,1.12E-03
982,0.00E+00,1.08E-03
983,0.00E+00,1.04E-03
984,0.00E+00,9.60E-04
985,0.00E+00,9.20E-04
986,0.00E+00,8.00E-04
987,0.00E+00,6.80E-04
988,0.00E+00,6.80E-04
989,0.00E+00,6.00E-04
990,0.00E+00,6.00E-04
991,0.00E+00,5.20E-04
992,0,4.80E-04
993,0,4.40E-04
994,0,2.80E-04
995,0,2.40E-04
996,0,1.20E-04
997,0,8.00E-05
998,0,8.00E-05
999,0,4.00E-05
1000,0,0
