IM,Minor,Mod,Sev
4.29,1,0.98649871,0.918343141
4.3,1,0.986681254,0.918926168
4.31,1,0.986863797,0.919509196
4.32,1,0.987046341,0.920092223
4.33,1,0.987228885,0.920682024
4.34,1,0.987411429,0.921391422
4.35,1,0.987593973,0.92210082
4.36,1,0.987776517,0.922810217
4.37,1,0.987959061,0.923519615
4.38,1,0.988141604,0.924229013
4.39,1,0.988324148,0.924938411
4.4,1,0.988506692,0.925647809
4.41,1,0.988689236,0.926357207
4.42,1,0.98887178,0.927066605
4.43,1,0.989054324,0.927776003
4.44,1,0.989236868,0.928485401
4.45,1,0.989419411,0.929194799
4.46,1,0.989601955,0.929904196
4.47,1,0.989784499,0.930613594
4.48,1,0.989967043,0.931322992
4.49,1,0.990149587,0.93203239
4.5,1,0.990332131,0.932741788
4.51,1,0.990514675,0.933451186
4.52,1,0.990697218,0.934160584
4.53,1,0.990879762,0.934783754
4.54,1,0.991062306,0.935201842
4.55,1,0.99124485,0.93561993
4.56,1,0.991427394,0.936038018
4.57,1,0.991609938,0.936456106
4.58,1,0.991792481,0.936874194
4.59,1,0.991975025,0.937292282
4.6,1,0.992157569,0.93771037
4.61,1,0.992340113,0.938128458
4.62,1,0.992522657,0.938546546
4.63,1,0.992705201,0.938964634
4.64,1,0.992887745,0.939382722
4.65,1,0.993070288,0.93980081
4.66,1,0.993252832,0.940218898
4.67,1,0.993435376,0.940636986
4.68,1,0.99361792,0.941055074
4.69,1,0.993800464,0.941473162
4.7,1,0.993983008,0.94189125
4.71,1,0.994165552,0.942309338
4.72,1,0.994348095,0.942727426
4.73,1,0.994530639,0.943145514
4.74,1,0.994713183,0.943522059
4.75,1,0.994895727,0.943853994
4.76,1,0.995078271,0.944185929
4.77,1,0.995260815,0.944517864
4.78,1,0.995443359,0.9448498
4.79,1,0.995625902,0.945181735
4.8,1,0.995808446,0.94551367
4.81,1,0.99599099,0.945845605
4.82,1,0.996173534,0.94617754
4.83,1,0.996356078,0.946509475
4.84,1,0.996538622,0.94684141
4.85,1,0.996721166,0.947173345
4.86,1,0.996903709,0.94750528
4.87,1,0.997086253,0.947837215
4.88,1,0.997268797,0.948169151
4.89,1,0.997451341,0.948501086
4.9,1,0.997633885,0.948833021
4.91,1,0.997816429,0.949164956
4.92,1,0.997998973,0.949496891
4.93,1,0.998181516,0.949828826
4.94,1,0.99836406,0.950160761
4.95,1,0.998546604,0.950492696
4.96,1,0.998729148,0.950824631
4.97,1,0.998911692,0.951156567
4.98,1,0.999094236,0.951488502
4.99,1,0.99927678,0.951820437
5,1,0.999459323,0.95209327
